;;en;XX;
1;000;000;000;
1;001;001 - Administrative Tools;001;
1;002;002 - Administrative Standards;002;
1;003;003 - Internal Regulations;003;
1;010;010 - GENERAL;010;
1;045;045;045;
1;100;100 - Concentrates and Handling;100;
1;101;101;101;
1;122;122 - CONC AND LIMESTONE OFF-LOADING;122;
1;144;144 - MOBILE EQUIPMENT;144;
1;150;150 - CONC RECLAIM and CRUSHING;150;
1;152;152 - CONC GRINDING;152;
1;154;154;154;
1;160;160 - LIMESTONE RECLAIM and CRUSHING;160;
1;162;162 - LIMESTONE GRINDING;162;
1;174;174 - LIME KILN;174;
1;176;176 - LIME SLAKING;176;
1;201;201;201;
1;212;212;212;
1;221;221;221;
1;222;222;222;
1;223;223;223;
1;224;224;224;
1;226;226;226;
1;227;227;227;
1;228;228;228;
1;229;229;229;
1;231;231;231;
1;254;254;254;
1;271;271;271;
1;300;300;300;
1;302;302 - CONC SLURRY STORAGE;302;
1;304;304 - CL2 PRE-LEACH;304;
1;305;305;305;
1;306;306 - PRESSURE OXIDATIVE LEACH;306;
1;308;308 - LEACH RESIDUE THICKENING and CCD;308;
1;310;310 - WEAK LIQUOR NEUTRALIZATION;310;
1;312;312 - IRON REMOVAL 1;312;
1;314;314 - COPPER SOLVENT EXTRACTION;314;
1;316;316 - COPPER EW;316;
1;318;318 - COPPER PRODUCT HANDLING;318;
1;319;319;319;
1;320;320 - COPPER EW ELECTRODE SERVICE;320;
1;324;324 - IRON REMOVAL 2;324;
1;325;325 - CADMIUM REMOVAL;325;
1;326;326 - IMPURITY SOLVENT EXTRACTION;326;
1;328;328;328;
1;330;330 - STRIP LIQUOR NEUTRALIZATION;330;
1;332;332 - COBALT SOLVENT EXTRACTION;332;
1;334;334 - COBALT SOLUTION PURIFICATION;334;
1;336;336 - COBALT EW;336;
1;338;338 - COBALT HANDLING;338;
1;340;340;340;
1;342;342 - COBALT EW ELECTRODE SERVICE;342;
1;346;346 - NICKEL EW;346;
1;348;348 - CATHODE WASH WATER;348;
1;351;351;351;
1;352;352 - NICKEL PRODUCT HANDLING;352;
1;354;354 - NICKEL EW ELECTRODE SERVICE;354;
1;356;356 - CL2 STRIPPING;356;
1;358;358 - CL2 COMPRESSION AND SCRUBBING;358;
1;360;360 - PROCESS EFFLUENT NEUTRALIZATION;360;
1;362;362 - BARREN SOLUTION;362;
1;366;366;366;
1;368;368;368;
1;370;370 - DECANT PUMPS;370;
1;372;372 - EFFLUENT TREATMENT PLANT;372;
1;374;374 - HOLDING POND;374;
1;376;376 - EFFLUENT PIPING and DIFFUSER;376;
1;378;378 - EMISSION and EFFLUENT MONITORING;378;
1;380;380;380;
1;382;382;382;
1;384;384;384;
1;386;386 - RECYCLE WATER;386;
1;400;400;400;
1;405;405 - LIMESTONE SLURRY;405;
1;410;410 - LIME SLURRY;410;
1;415;415 - SODA ASH;415;
1;420;420 - FLOCCULANT;420;
1;425;425 - SULPHURIC ACID;425;
1;430;430 - HYDROCHLORIC ACID;430;
1;434;434;434;
1;435;435 - ALUM;435;
1;436;436;436;
1;437;437;437;
1;438;438 - DILUENT;438;
1;439;439;439;
1;440;440 - OXYGENCL;440;
1;445;445 - NITROGENCL;445;
1;447;447 - PROPANE;447;
1;448;448 - HYDROGEN;448;
1;450;450 - BORIC ACID;450;
1;451;451 - VIBRA COMPOUND;451;
1;452;452 - EW LEVELING AGENT;452;
1;454;454;454;
1;456;456 - SODIUM METABISULPHATE;456;
1;458;458 - SODIUM HYDROXIDE;458;
1;460;460;460;
1;462;462 - BARIUM HYDROXIDE;462;
1;464;464 - SODIUM CHLORIDE;464;
1;470;470 - CHEMICAL ADDITIVES;470;
1;471;471 - HYDROGEN SULPHIDE;471;
1;472;472 - SODIUM LIGNOSULPHONATE;472;
1;474;474 - FILTER AID;474;
1;476;476;476;
1;477;477;477;
1;478;478 - COAGULANT MAKE-UP;478;
1;480;480 - BENTONITE;480;
1;482;482 - GRANULATED ACTIVATED CARBON;482;
1;484;484 - GUAR;484;
1;486;486;486;
1;488;488 - SODIUM HYPOCHLORITE;488;
1;490;490 - SODIUM BISULFITE;490;
1;492;492 - GLYCOL;492;
1;500;500 - Site Utilities;500;
1;501;501 - RAW WATER SUPPLY;501;
1;503;503 - PROCESS WATER;503;
1;505;505 - STEAM SUPPLY and DISTRIBUTION;505;
1;510;510 - CONDENSATE;510;
1;515;515 - COMPRESSED AIR PORT;515;
1;520;520 - COMPRESSED AIR PLANT;520;
1;521;521;521;
1;525;525 - HEATING SYSTEM;525;
1;530;530 - HP SEAL WATER DISTRIBUTION;530;
1;540;540 - SEAL AND GLAND WATER;540;
1;545;545 - HEATING AND HVAC SYSTEMS;545;
1;550;550 - COOLING WATER SYSTEM;550;
1;554;554;554;
1;560;560 - SOFTENED WATER SUPPLY;560;
1;570;570 - POTABLE WATER TREATMENT;570;
1;574;574;574;
1;575;575 - HOT WATER SYSTEM;575;
1;580;580 - FUEL SUPPLY and DISTRIBUTION;580;
1;582;582;582;
1;585;585 - SEWAGE TREATMENT;585;
1;587;587 - PLUMBING, DRAINS, WASTE, VENTS;587;
1;590;590 - LABORATORY EQUIPMENT;590;
1;592;592 - ONLINE ANALYSERS;592;
1;595;595 - MATERIAL HANDLING;595;
1;600;600;600;
1;605;605;605;
1;610;610 - Electrical Main Substation 13.8 kV and Distribution;610;
1;615;615;615;
1;620;620 - Unit Substation HV Switchgear and Distribution;620;
1;630;630 - Unit Substation MV Switchgear and Distribution;630;
1;640;640 - Unit Substation LV Switchgear and Distribution;640;
1;650;650 - EW RECTIFIER and BUS SYSTEM;650;
1;660;660 - STANDBY or EMERGENCY POWER SUPPLY;660;
1;665;665;665;
1;670;670;670;
1;675;675;675;
1;680;680;680;
1;685;685;685;
1;690;690;690;
1;691;691;691;
1;701;701;701;
1;705;705;705;
1;706;706;706;
1;710;710 - SECURITY and SURVEILLANCE SYSTEM;710;
1;720;720;720;
1;725;725;725;
1;735;735;735;
1;740;740;740;
1;750;750;750;
1;760;760;760;
1;780;780;780;
1;803;803;803;
1;805;805 - FIRE (FOAM) SUPPRESSION;805;
1;810;810 - FIRE WATER SYSTEM;810;
1;815;815 - FIRE PROTECTION and SAFETY EQUIPMENT;815;
1;820;820 - STORM WATER PONDS AND PUMPS;820;
1;830;830 - WHARF WATER;830;
1;840;840 - VESSEL BERTH WASHDOWN WATER;840;
1;850;850 - SAFETY SHOWERS and EYE WASH STATIONS;850;
1;920;920;920;
1;930;930;930;
1;940;940;940;
1;950;950;950;
